DMY,Current_Price,Open,High,Low,Volume,% Changes
3/12/2020,"1,599.98","1,699.41","1,705.74","1,568.71",4.64B,-11.76%
03/13/2020,"1,641.89","1,438.91","1,702.81","1,383.71",5.54B,2.62%
03/16/2020,"1,511.41","1,551.64","1,606.94","1,506.72",3.37B,-7.95%
03/17/2020,"1,494.37","1,513.60","1,555.15","1,494.37",3.10B,-1.13%
03/18/2020,"1,515.84","1,524.87","1,563.39","1,478.88",2.86B,1.44%
03/19/2020,"1,512.46","1,467.66","1,523.32","1,455.59",2.99B,-0.22%
03/20/2020,"1,651.40","1,568.95","1,662.66","1,554.25",4.43B,9.19%
03/23/2020,"1,484.85","1,514.92","1,552.74","1,483.24",3.06B,-10.09%
03/24/2020,"1,505.34","1,554.55","1,560.06","1,486.61",3.15B,1.38%
03/25/2020,"1,583.89","1,556.21","1,617.98","1,533.45",3.35B,5.22%
03/26/2020,"1,603.71","1,574.29","1,623.49","1,569.92",2.96B,1.25%
03/27/2020,"1,610.90","1,638.69","1,655.51","1,594.12",3.15B,0.45%
03/30/2020,"1,589.79","1,589.99","1,602.62","1,566.73",1.89B,-1.31%
03/31/2020,"1,648.71","1,626.07","1,652.32","1,615.62",3.15B,3.71%
4/1/2020,"1,614.84","1,633.78","1,659.50","1,614.69",2.92B,-2.05%
4/2/2020,"1,672.52","1,629.55","1,682.05","1,615.41",5.10B,3.57%
4/3/2020,"1,671.79","1,694.44","1,704.77","1,657.95",4.68B,-0.04%
4/7/2020,"1,798.92","1,752.06","1,808.83","1,729.63",4.38B,7.60%
4/8/2020,"1,780.50","1,776.24","1,796.64","1,759.83",3.88B,-1.02%
4/9/2020,"1,785.34","1,804.34","1,840.98","1,771.54",3.96B,0.27%
4/10/2020,"1,812.02","1,777.91","1,812.22","1,774.31",2.63B,1.49%
04/13/2020,"1,823.12","1,813.48","1,824.64","1,797.71",2.57B,0.61%
04/14/2020,"1,851.77","1,848.68","1,870.81","1,826.68",3.81B,1.57%
04/15/2020,"1,815.18","1,845.05","1,857.88","1,812.46",3.16B,-1.98%
04/16/2020,"1,755.73","1,797.83","1,807.07","1,755.72",2.92B,-3.28%
04/17/2020,"1,823.48","1,806.87","1,825.19","1,786.73",2.68B,3.86%
04/20/2020,"1,868.81","1,826.81","1,882.19","1,818.73",3.11B,2.49%
04/21/2020,"1,843.07","1,835.29","1,858.62","1,828.21",2.91B,-1.38%
04/22/2020,"1,856.46","1,830.05","1,858.97","1,806.46",3.00B,0.73%
04/23/2020,"1,869.26","1,863.02","1,879.74","1,851.32",2.91B,0.69%
04/24/2020,"1,843.41","1,871.71","1,880.28","1,838.62",2.95B,-1.38%
04/27/2020,"1,857.04","1,863.93","1,866.89","1,842.70",1.69B,0.74%
04/28/2020,"1,869.96","1,857.43","1,884.26","1,845.75",2.52B,0.70%
04/29/2020,"1,879.33","1,883.13","1,889.62","1,870.47",2.75B,0.50%
04/30/2020,"1,913.35","1,905.91","1,913.35","1,896.20",3.59B,1.81%
5/5/2020,"1,876.24","1,889.62","1,894.15","1,874.44",2.76B,-1.94%
5/7/2020,"1,845.47","1,868.73","1,874.67","1,835.28",3.18B,-1.64%
5/8/2020,"1,858.03","1,858.50","1,866.70","1,842.12",2.26B,0.68%
5/11/2020,"1,891.72","1,876.85","1,903.51","1,875.34",2.70B,1.81%
5/12/2020,"1,911.06","1,888.55","1,916.11","1,884.80",2.77B,1.02%
05/13/2020,"1,900.80","1,905.49","1,915.99","1,894.11",3.03B,-0.54%
05/14/2020,"1,876.37","1,886.50","1,893.20","1,869.35",2.91B,-1.29%
05/15/2020,"1,875.19","1,886.93","1,890.25","1,872.63",2.47B,-0.06%
05/18/2020,"1,885.02","1,891.17","1,901.40","1,880.08",2.96B,0.52%
05/19/2020,"1,922.60","1,924.01","1,938.19","1,914.78",3.87B,1.99%
05/20/2020,"1,941.71","1,924.54","1,941.73","1,917.17",3.94B,0.99%
05/21/2020,"1,939.50","1,955.71","1,959.92","1,929.34",3.88B,-0.11%
05/22/2020,"1,911.21","1,919.66","1,922.61","1,883.78",3.74B,-1.46%
05/25/2020,"1,936.70","1,917.37","1,941.43","1,907.39",4.54B,1.33%
05/26/2020,"1,960.27","1,961.75","1,977.66","1,954.85",5.65B,1.22%
05/27/2020,"1,974.78","1,963.55","1,975.71","1,946.37",4.74B,0.74%
05/28/2020,"1,960.86","1,992.41","1,995.63","1,960.86",4.18B,-0.70%
05/29/2020,"1,974.61","1,955.09","1,974.81","1,938.63",5.83B,0.70%
6/1/2020,"1,988.88","1,994.57","2,005.52","1,983.03",5.44B,0.72%
6/2/2020,"2,026.48","2,003.81","2,026.51","1,996.56",5.00B,1.89%
6/4/2020,"2,084.30","2,064.35","2,089.40","2,057.37",6.66B,2.85%
6/5/2020,"2,124.48","2,091.36","2,130.51","2,069.23",5.74B,1.93%
6/8/2020,"2,125.35","2,147.48","2,157.28","2,113.11",5.82B,0.04%
6/9/2020,"2,074.03","2,123.95","2,140.46","2,062.78",5.60B,-2.41%
6/10/2020,"2,092.39","2,088.82","2,101.13","2,064.56",3.88B,0.89%
6/11/2020,"2,055.15","2,082.58","2,096.83","2,035.10",7.77B,-1.78%
6/12/2020,"2,032.00","1,995.82","2,039.23","1,988.17",8.69B,-1.13%
06/15/2020,"1,963.91","2,014.32","2,025.22","1,956.95",6.45B,-3.35%
06/16/2020,"2,006.81","2,020.12","2,022.86","1,998.43",6.76B,2.18%
06/17/2020,"2,020.42","1,997.96","2,029.22","1,990.95",5.07B,0.68%
06/18/2020,"2,013.38","1,991.12","2,021.16","1,988.87",5.86B,-0.35%
06/19/2020,"2,007.45","2,019.13","2,024.77","2,003.27",3.50B,-0.29%
06/22/2020,"1,977.83","1,989.16","2,004.15","1,970.56",3.45B,-1.48%
06/23/2020,"1,985.42","1,990.09","1,994.07","1,976.63",2.89B,0.38%
06/24/2020,"1,948.06","1,994.31","1,999.43","1,947.59",3.73B,-1.88%
06/25/2020,"1,937.53","1,923.66","1,938.57","1,906.41",3.70B,-0.54%
06/26/2020,"1,943.90","1,953.07","1,965.60","1,939.10",2.46B,0.33%
06/29/2020,"1,944.37","1,927.83","1,944.42","1,915.40",2.50B,0.02%
06/30/2020,"1,959.01","1,968.84","1,980.43","1,959.01",2.94B,0.75%
7/1/2020,"1,976.29","1,969.63","1,977.19","1,945.31",3.27B,0.88%
7/2/2020,"2,018.61","1,989.75","2,022.67","1,983.73",3.23B,2.14%
7/3/2020,"2,013.48","2,023.10","2,027.58","2,010.45",4.92B,-0.25%
7/7/2020,"2,012.33","2,040.23","2,044.93","2,012.26",5.61B,-0.06%
7/8/2020,"1,992.36","2,009.07","2,021.72","1,990.36",2.94B,-0.99%
7/9/2020,"1,996.13","2,000.28","2,006.54","1,983.91",3.18B,0.19%
7/10/2020,"1,967.56","1,981.91","1,990.84","1,960.35",2.75B,-1.43%
07/13/2020,"1,953.50","1,986.13","1,988.76","1,948.65",3.44B,-0.71%
07/14/2020,"1,952.19","1,936.66","1,955.21","1,926.21",2.80B,-0.07%
