Date,Month,Model,MSFT_Price,SPY_Price,MSFT_Shares,SPY_Shares,Total_Invested_THB,Current_Value_THB,Profit_Loss_THB,Return_Pct
2022-05-01 00:00:00-04:00,24,Model 1 (High Risk),276.7879638671875,396.7076721191406,6.7272540836643895,1.1080363078408406,72000,80555.63125896004,8555.631258960042,11.882821193000058
2022-06-01 00:00:00-04:00,25,Model 1 (High Risk),265.6806945800781,392.0273742675781,6.985351227981966,1.1517650325884046,75000,80758.87356722131,5758.873567221308,7.678498089628411
2022-07-01 00:00:00-04:00,26,Model 1 (High Risk),253.15834045410156,366.46917724609375,7.256215021955449,1.1985434745618349,78000,79667.02078834499,1667.0207883449912,2.1372061389038346
2022-08-01 00:00:00-04:00,27,Model 1 (High Risk),271.13238525390625,394.8551025390625,7.509122576717724,1.241959038986917,81000,88422.60626772755,7422.606267727548,9.163711441638949
2022-09-01 00:00:00-04:00,28,Model 1 (High Risk),254.49713134765625,381.0610656738281,7.778561482407221,1.2869462042659086,84000,86450.93363712629,2450.9336371262907,2.9177781394360602
2022-10-01 00:00:00-04:00,29,Model 1 (High Risk),235.28280639648438,353.8536682128906,8.070004064301097,1.335392380419559,87000,82994.33436681806,-4005.6656331819395,-4.604213371473493
2022-11-01 00:00:00-04:00,30,Model 1 (High Risk),222.99774169921875,371.1404113769531,8.377502373696169,1.381582061244819,90000,83332.37657414288,-6667.62342585712,-7.408470473174578
2022-12-01 00:00:00-05:00,31,Model 1 (High Risk),249.61805725097656,393.2050476074219,8.652207774926353,1.4251798157679825,93000,95204.7317555984,2204.7317555984046,2.3706793070950587
2023-01-01 00:00:00-05:00,32,Model 1 (High Risk),234.80894470214844,369.25714111328125,8.944238509353486,1.4716050713261357,96000,92525.57604609565,-3474.4239539043483,-3.6191916186503628
2023-02-01 00:00:00-05:00,33,Model 1 (High Risk),247.71665954589844,398.3268127441406,9.22105246565796,1.514642237277273,99000,101063.58251893998,2063.5825189399766,2.084426786808057
2023-03-01 00:00:00-05:00,34,Model 1 (High Risk),241.97027587890625,382.75445556640625,9.504440283944142,1.559430369442812,102000,101383.4835870625,-616.5164129375044,-0.6044278558210827
2023-04-01 00:00:00-04:00,35,Model 1 (High Risk),282.2151794433594,399.9930114746094,9.747415976132913,1.6022882610836147,105000,118712.0499465134,13712.049946513405,13.059095187155625
2023-05-01 00:00:00-04:00,36,Model 1 (High Risk),300.22509765625,404.431396484375,9.97581603031473,1.6446758138104205,108000,128105.21073159069,20105.21073159069,18.615935862583974
2023-06-01 00:00:00-04:00,37,Model 1 (High Risk),327.4876708984375,410.57318115234375,10.185202320746086,1.6864292890246144,111000,140977.5788271836,29977.578827183606,27.006827772237486
2023-07-01 00:00:00-04:00,38,Model 1 (High Risk),332.81488037109375,433.5619812011719,10.391237064429934,1.7259688655699639,114000,147233.5480473892,33233.548047389195,29.152235129288766
2023-08-01 00:00:00-04:00,39,Model 1 (High Risk),331.19012451171875,445.95947265625,10.598282575441244,1.7644092580135862,117000,150391.55418085083,33391.55418085083,28.539789898163097
2023-09-01 00:00:00-04:00,40,Model 1 (High Risk),324.31292724609375,440.7914123535156,10.809718576940487,1.80330034495951,120000,150521.37731212165,30521.37731212165,25.43448109343471
2023-10-01 00:00:00-04:00,41,Model 1 (High Risk),317.5436096191406,418.934326171875,11.025661919820768,1.8442204989595525,123000,149580.7514776459,26580.751477645914,21.61036705499668
2023-11-01 00:00:00-04:00,42,Model 1 (High Risk),341.49267578125,414.3754577636719,11.22646103920028,1.885590847568939,126000,161528.38766563887,35528.387665638875,28.19713306796736
2023-12-01 00:00:00-05:00,43,Model 1 (High Risk),370.30657958984375,450.1011962890625,11.411635789936224,1.923677520708656,129000,178207.86795845852,49207.86795845852,38.14563407632443
2024-01-01 00:00:00-05:00,44,Model 1 (High Risk),366.7073669433594,465.26434326171875,11.59862802067049,1.9605229342700687,132000,180791.23149773857,48791.23149773857,36.96305416495346
2024-02-01 00:00:00-05:00,45,Model 1 (High Risk),399.2480163574219,481.5557556152344,11.770379477814966,1.9961218383283443,135000,198119.0616456803,63119.06164568031,46.754860478281714
2024-03-01 00:00:00-05:00,46,Model 1 (High Risk),411.5962219238281,504.836181640625,11.936978258170434,2.030079105589074,138000,207832.53877203417,69832.53877203417,50.60328896524216
2024-04-01 00:00:00-04:00,47,Model 1 (High Risk),420.58099365234375,515.59765625,12.10001802840815,2.0633276220147287,141000,215350.95720550488,74350.95720550488,52.7311753230531
2024-05-01 00:00:00-04:00,48,Model 1 (High Risk),391.2294006347656,494.0618591308594,12.275289693728222,2.0980254170904598,144000,204365.2998648421,60365.29986484209,41.920347128362565
2024-06-01 00:00:00-04:00,49,Model 1 (High Risk),410.3736877441406,521.1668090820312,12.442384784420737,2.1309186421464683,147000,217580.69891093243,70580.69891093243,48.01408089179077
2024-07-01 00:00:00-04:00,50,Model 1 (High Risk),453.2549133300781,540.2236328125,12.5936714589934,2.162651532197221,150000,240676.0626509622,90676.06265096221,60.45070843397481
2024-08-01 00:00:00-04:00,51,Model 1 (High Risk),413.93634033203125,537.9154663085938,12.759328401595795,2.194520586382442,153000,226170.56938695902,73170.56938695902,47.823901560103934
2024-09-01 00:00:00-04:00,52,Model 1 (High Risk),407.0570983886719,546.9004516601562,12.927784937160135,2.225866066333718,156000,226788.5823744138,70788.58237441379,45.37729639385499
2024-10-01 00:00:00-04:00,53,Model 1 (High Risk),418.2416076660156,565.0130004882812,13.091736651467302,2.2562067082800845,159000,236260.32871759162,77260.32871759162,48.59140170917712
2024-11-01 00:00:00-04:00,54,Model 1 (High Risk),407.9816589355469,567.4176025390625,13.259811433922808,2.2864187726681946,162000,234748.99435302182,72748.99435302182,44.90678663766779
2024-12-01 00:00:00-05:00,55,Model 1 (High Risk),429.32940673828125,599.8008422851562,13.419528955003841,2.3149996880892956,165000,250247.80087176868,85247.80087176868,51.665333861677986
2025-01-01 00:00:00-05:00,56,Model 1 (High Risk),416.97686767578125,582.8865966796875,13.583977954186084,2.3444099665903084,168000,246075.5403596401,78075.54035964009,46.473535928357194
2025-02-01 00:00:00-05:00,57,Model 1 (High Risk),409.3462219238281,595.9771728515625,13.751492456333336,2.3731742514048326,171000,246521.77073476577,75521.77073476577,44.16477820746536
2025-03-01 00:00:00-05:00,58,Model 1 (High Risk),387.778076171875,582.0191650390625,13.928324084486125,2.4026283624936084,174000,237981.60649263425,63981.60649263425,36.77103821415761
2025-04-01 00:00:00-04:00,59,Model 1 (High Risk),381.4896545410156,560.969970703125,14.108070580243472,2.4331876758938784,177000,236145.98669055596,59145.98669055596,33.41581168957964
2025-05-01 00:00:00-04:00,60,Model 1 (High Risk),424.6204528808594,558.469970703125,14.269559335922107,2.463883788562701,180000,260230.31491954197,80230.31491954197,44.572397177523314
2020-06-01 00:00:00-04:00,1,Model 2 (Medium Risk),192.16322326660156,290.0790100097656,0.22302468770355774,0.14774299890123058,3000,3000.0,0.0,0.0
